레퍼런스ID,브랜드,유형,소구점,매체,추정노출
AR01,B브랜드,카루셀,후기 인용,메타,14852
AR02,A브랜드,카루셀,할인 강조,메타,7798
AR03,B브랜드,영상,후기 인용,유튜브,53357
AR04,B브랜드,이미지,비포애프터,유튜브,7869
AR05,A브랜드,이미지,인플루언서,메타,74178
AR06,C브랜드,이미지,성분 근거,메타,84926
AR07,해외D,영상,인플루언서,메타,78652
AR08,C브랜드,영상,비포애프터,틱톡,12849
AR09,A브랜드,카루셀,성분 근거,틱톡,29099
AR10,B브랜드,영상,성분 근거,메타,23727
AR11,C브랜드,카루셀,비포애프터,메타,65112
AR12,B브랜드,영상,할인 강조,틱톡,85721
AR13,C브랜드,카루셀,비포애프터,메타,30708
AR14,해외D,이미지,할인 강조,메타,35438
AR15,해외D,카루셀,후기 인용,유튜브,50158
AR16,A브랜드,영상,비포애프터,틱톡,40492
AR17,C브랜드,영상,할인 강조,메타,58076
AR18,A브랜드,카루셀,할인 강조,틱톡,50939
AR19,C브랜드,카루셀,비포애프터,메타,13960
AR20,B브랜드,카루셀,비포애프터,틱톡,42236
AR21,A브랜드,영상,후기 인용,유튜브,86921
AR22,해외D,카루셀,할인 강조,유튜브,36167
AR23,해외D,영상,인플루언서,틱톡,9049
AR24,해외D,영상,후기 인용,틱톡,47863
AR25,해외D,카루셀,성분 근거,틱톡,10616
AR26,B브랜드,영상,비포애프터,메타,12255
AR27,B브랜드,이미지,할인 강조,틱톡,87842
AR28,C브랜드,카루셀,비포애프터,메타,74819
AR29,C브랜드,영상,비포애프터,틱톡,20000
AR30,A브랜드,영상,인플루언서,메타,23505
